epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.5213,1.04598,0.63744,1.49934,0.93961,0.98101,0.97816,0.77799,0.79339,0.37711,1.35861,0.000552398,0.000552398,0.000552398
2,172.529,0.93246,0.53469,1.33772,0.93964,0.97194,0.97266,0.76198,0.85462,0.42433,1.41583,0.00105322,0.00105322,0.00105322
3,256.698,0.93751,0.56295,1.32937,0.94611,0.96667,0.9805,0.76063,0.8555,0.42269,1.38649,0.00149902,0.00149902,0.00149902
4,336.874,0.93623,0.54814,1.33791,0.954,0.9683,0.98064,0.77377,0.84489,0.40317,1.38758,0.00141945,0.00141945,0.00141945
5,415.392,0.91591,0.51572,1.31571,0.93868,0.99048,0.98294,0.77123,0.8474,0.37417,1.40043,0.00133693,0.00133693,0.00133693
6,497.979,0.87768,0.47417,1.27558,0.93762,0.99319,0.98117,0.78991,0.75599,0.36498,1.30915,0.00125442,0.00125442,0.00125442
7,586.673,0.85485,0.46888,1.26463,0.95338,0.99124,0.98641,0.82056,0.70087,0.31918,1.26676,0.0011719,0.0011719,0.0011719
8,666.592,0.84721,0.47138,1.26445,0.93256,0.99418,0.98425,0.7952,0.76872,0.35928,1.31458,0.00108938,0.00108938,0.00108938
9,745.776,0.81388,0.45785,1.22703,0.94304,0.99124,0.98286,0.81263,0.69782,0.31971,1.24585,0.00100687,0.00100687,0.00100687
10,825.435,0.78583,0.43087,1.20932,0.94357,0.98468,0.98211,0.81711,0.70203,0.32812,1.23192,0.000924352,0.000924352,0.000924352
11,905.174,0.70574,0.35318,1.25284,0.95831,0.97981,0.98674,0.82378,0.69432,0.30766,1.2325,0.000841835,0.000841835,0.000841835
12,994.128,0.67962,0.3198,1.21077,0.95109,0.99124,0.98074,0.83991,0.65535,0.30542,1.1849,0.000759318,0.000759318,0.000759318
13,1076.6,0.66181,0.3083,1.20043,0.95543,0.98914,0.98801,0.83712,0.68644,0.29709,1.2244,0.000676802,0.000676802,0.000676802
14,1159.52,0.64294,0.29091,1.18043,0.95534,0.99524,0.98685,0.83394,0.67586,0.29079,1.20373,0.000594286,0.000594286,0.000594286
15,1243.76,0.61033,0.28895,1.15276,0.96328,0.97143,0.98767,0.844,0.65886,0.30822,1.19945,0.000511769,0.000511769,0.000511769
16,1327.12,0.59828,0.27151,1.14029,0.96766,0.97143,0.98628,0.85341,0.63058,0.2803,1.18047,0.000429253,0.000429253,0.000429253
17,1410.72,0.57687,0.26427,1.1168,0.96016,0.99445,0.98977,0.8627,0.61299,0.2668,1.15804,0.000346736,0.000346736,0.000346736
18,1497.72,0.56404,0.26212,1.09526,0.96051,0.99524,0.98485,0.85544,0.61994,0.26107,1.16437,0.00026422,0.00026422,0.00026422
19,1579.66,0.54844,0.24961,1.08298,0.9589,0.99524,0.98616,0.85911,0.61551,0.25643,1.15315,0.000181703,0.000181703,0.000181703
20,1663.56,0.5298,0.23833,1.07622,0.95852,0.99524,0.98827,0.86576,0.59905,0.25431,1.1455,9.91865e-05,9.91865e-05,9.91865e-05
